"post"
"My man looks like he owns a Hooters-branded Discover Card"
"My man looks like a regular at the jail under Eagles Stadium"
"My man looks like the Zach Galifinakis character in a stage production of THE HANGOVER PART III"
"My man looks like Chris Evans playing Captain America First"
"My man looks like he has a tattoo of Calvin pissing on a Ford logo"
"My man looks like he tucks a golf shirt into dress shorts"
"My man looks like he had his wedding reception at a Zaxby's"
"My man looks like he adapted a riding mower to roll coal"
"My man looks like Leonidas from 300 pledged Kappa Alpha"
"My man looks like he could open a longneck with his bellybutton"
"My man looks like he wears ostrich boots with lifts"
"My man looks like he drives an F-150 with a bewildering combination of bumper stickers"
"My man looks like he asks how come *we* don't get to say that?"
"My man looks like Tom Hardly"
"My man looks like he's surprised Flash Gordon's alive"
"My man looks like redneck Lionel Messi"
"My man looks like Kendall Roy found Jesus"
"My man looks like the wrestling coach who teaches driver's ed"
"My man looks like he owns six kinds of camo"
"My man looks like he pronounces it ""terlet"""
"My man looks like Bluto in a community theater production of POPEYE"
"My man looks like he's corrected strangers' definitions of an assault rifle online"
"My man looks like he's sucker punched a nun"
"My man looks like Hans Gruber if he took hostages at a Tractor Supply Co."
"My man looks like Ra's Al Gullible"
"My man looks like Chuck Norris officiating a wedding"
"My man looks like General Zod's mute sidekick"
"My man looks like a dirt farmer who literally farms dirt"
"My man looks like the deputy that waitress warned you about"
"My man looks like Slavoj Zizek after being kicked in the head by a mule"
"My man looks like a minor antagonist on The Righteous Gemstones"
"My man looks like Walter Sobchak on GLP-1"
"My man looks like a linebackers coach who punched out a rival mascot"
"My man looks like he has a duck blind in his man cave"
"My man looks like Ned Stark went to Supercuts"
"My man looks like a wax model of Ryan Gosling that was exposed to the elements"
"My man looks like a claymation model of JD Vance"
"My man looks like a garden gnome who manages an Arby's"
"My man looks like he needs a grappling hook to climb into his Silverado"
"My man looks like a deacon at a segregated church"
"My man looks like someone tried to draw Jake Gyllenhaal from memory"
"My man looks like he's trying to spell Jake Gyllenhaal from memory"
"My man looks like he has a lot of opinions about the WNBA, which he never watches"
"My man looks like he runs a Subway franchise that always smells like bleach"
"My man looks like he's pissed this movie has subtitles"
"My man looks like he's about to get doused with a cooler of Gatorade"
"My man looks like Taylor Sheridan wrote for The West Wing"
"My man looks like he's gonna show those Earp boys what for"
"My man looks like he's asking the sommelier about their selection of Cheerwine"
"My man looks like he takes his coffee with one milk and eight sugar packets"
"My man looks like he bought truck nuts on layaway"
"My man looks like he burned his deck down deep-frying a turkey"
